Flow Rate (L/min),Inlet Temperature (°C),Outlet Temperature (°C),Delta Temperature (°C),Pressure (Bar),Delta Pressure (Bar),Power Consumption (kW),Vibration (m/s²),Ambient Temperature (°C),Time of Day,Cooling Load (kW),Motor Speed (RPM),Regular RPM (RPM),Energy Usage (Regular RPM) (kW),Optimal RPM,Energy Usage (Optimal RPM) (kW)
1061.8101782710437,37.872710405548844,32.47281636933397,9.996702437290534,3.9199932439598815,0.13694833571035867,35.52578273488696,1.257845998875402,29.48368061806625,Off-Peak,23.999361191625113,1500.3118509897874,1500,28.253677764185973,1275.2650733413193,19.77757443493018
1926.0714596148744,39.46871318750043,31.658241924628065,12.467467725125942,1.7380479823948463,0.12430149183520803,28.371698141367723,0.17391658874988525,26.422266627430872,Off-Peak,67.23024516590056,1619.1371518568722,1500,21.260912289579586,1376.2665790783412,14.88263860270571
1597.9909127171077,47.090947864043606,28.5230782500572,10.626667806563331,2.3865587774795447,0.3416767802974656,48.57994099455763,1.2632946476657956,26.89538837458324,Peak,73.62828995908598,1373.2437015394867,1500,38.659098305174034,1167.2571463085637,27.061368813621822
1397.987726295555,36.80008772119784,37.14533340202976,5.833025831117964,3.653122547431273,0.48644652899710195,18.759138039369528,0.27037035285182087,27.71006692271383,Off-Peak,69.6522712996985,1257.3116602084358,1500,49.70520521613466,1068.7149111771705,34.79364365129426
734.0279606636548,47.39299369624342,34.53248321017258,6.855802367835554,2.9283573780979197,0.30108852358188964,33.51425663995762,1.44965405318562,28.054800015474225,Off-Peak,63.318148159351836,1430.9603336255984,1500,34.047602567639956,1216.3162835817586,23.833321797347967
733.991780504304,31.76268861953383,42.31401984648007,7.193281840309192,3.9542841545395753,0.12060609037572206,38.008400599608905,0.8411475285037681,28.63392713815816,Peak,33.97472725035912,1780.004847815519,1500,29.918570786723148,1500.0,20.9429995507062
587.1254182522991,45.535968744172614,25.642191609641166,7.578642536448449,4.844831604891439,0.18848746243098247,43.022579573815264,1.6916233339801854,28.831900434452415,Off-Peak,87.27631157082172,1036.0724304370538,1500,35.85518241954695,880.6615658714957,25.098627693682865
1799.2642186624028,46.95095266109473,37.877358551102525,10.654033919505043,1.46618675086079,0.19791716256630829,26.278841217120284,1.8908055660037482,31.83574518231304,Off-Peak,46.204394908819886,1422.9326425855547,1500,58.36518179142162,1209.4927461977215,40.85562725399513
1401.6725176148132,33.63635305674678,40.258977570231224,10.039657798253934,3.8382708655922437,0.23514285165478,37.47687630629926,0.892509648784657,32.64359786239062,Off-Peak,98.89425568903083,1263.4116019005617,1500,36.92648376072455,1073.8998616154774,25.848538632507186
1562.1088666940682,38.60693064744401,40.189731383766144,7.03160038364209,1.921376622528458,0.11744135343448506,22.12805885537131,0.9750550614001177,29.633188121895337,Peak,50.78862383153524,1084.280191137889,1500,30.385523501023833,921.6381624672056,21.26986645071668
530.8767414437036,33.309995493273114,42.7214793419105,5.6755484345568705,2.657906909630277,0.4619570801991665,27.419043694472812,1.2212804039244156,38.60944629881092,Off-Peak,41.040387517949235,1347.736452771289,1500,42.7697015997669,1145.5759848555956,29.938791119836825
1954.8647782429914,44.132082579884354,39.58067485658988,6.714322044747181,1.1314509031805593,0.3062255778885981,45.82508524813597,0.47455217153029594,33.29709585008432,Peak,91.540065102539,1512.9313039862932,1500,52.42974967063743,1285.9916083883493,36.7008247694462
1748.6639612006327,40.706955361233135,43.556201232953924,14.843813126186033,1.5436295291707958,0.36837231718164365,47.996304373238175,1.8619323975738864,36.8121539205011,Peak,65.39313305528266,1422.532453795053,1500,20.893291920935543,1209.152585725795,14.625304344654879
818.5086660174143,42.70646693416642,31.65313199641783,9.685469497914722,2.2791091561955987,0.1268691347580036,38.75269387709059,0.922699860352608,38.86356748631265,Peak,77.74803521397918,1023.341176211512,1500,42.324067449163785,869.8399997797852,29.626847214414646
772.7374508106509,33.929739339124225,35.06418833503086,13.673455047021125,2.36794322115194,0.12164618712145976,24.974075631047402,0.4169586382404139,27.447026718637076,Off-Peak,52.671902666179584,1463.2939715907212,1500,53.45249644891793,1243.799875852113,37.416747514242545
775.1067647801508,34.23491724104839,25.281593265657815,13.487524666688433,4.5983408658483835,0.3345871088162189,42.80231159898656,1.5491904834958796,31.41811725573452,Off-Peak,90.9532404754872,1185.6020670405687,1500,28.6249502531685,1007.7617569844834,20.03746517721795
956.3633644393066,30.829946510198127,25.139151746065824,10.115195574628737,3.9672516370660604,0.4549184042016833,11.034683269016806,0.5163876076435718,31.498156025719133,Peak,93.41801703874619,1273.181244032785,1500,56.867319180058665,1082.2040574278672,39.807123426041066
